"客户端名称,""分类"""
"PDF阅读器,""工具"""
"正点闹钟,""工具"""
"搜狐应用中心,""工具"""
"UC应用商店,""工具"""
"GO桌面主题,""工具"""
"GO锁屏,""工具"""
"金山毒霸,""工具"""
"无线江苏,""工具"""
"yoka时尚网,""工具"""
"百度美拍,""工具"""
"圣经,""工具"""
"华西证券手机炒股软件,""工具"""
"全国违章查询,""工具"""
"麦当劳优惠券,""工具"""
"Youni有你,""工具"""
"扇贝单词,""工具"""
"慢点生活,""工具"""
"搞笑妹子,""工具"""
"51信用卡管家,""工具"""
"盛名时刻表,""工具"""
"比邻,""工具"""
"交通银行,""工具"""
"七彩来显,""工具"""
"猎豹浏览器,""工具"""
"表情工厂,""工具"""
"黄历天气,""工具"""
"咕咚运动,""工具"""
"有道云笔记,""工具"""
"儿童歌曲大全,""工具"""
"收录优美图片,""工具"""
"生活有意思,""工具"""
"二手车估价,""工具"""
"百思不得姐,""工具"""
"小恩爱,""工具"""
"西柚,""工具"""
"有声小说,""工具"""
"经纬名片通,""工具"""
"金山快盘,""工具"""
"360云盘,""工具"""
"雷神手机卫士,""工具"""
"手电筒,""工具"""
"line camera,""工具"""
"smartnews,""工具"""
"ZoneAlarm,""工具"""
"安全相册,""工具"""
"走起,""工具"""
"有道词典,""工具"""
"AppChina 应用汇,""工具"""
"QQ应用宝,""工具"""
"迅雷,""工具"""
"小伴龙,""工具"""
"爱卡汽车客户端,""工具"""
"沃商店,""工具"""
"我查查,""工具"""
"Wo116114,""工具"""
"沃动上海,""工具"""
"豌豆荚,""工具"""
"网秦,""工具"""
"瓦力流量仪,""工具"""
"Torch,""工具"""
"Thermometer,""工具"""
"搜狗输入法,""工具"""
"计算器,""工具"""
"快的司机,""工具"""
"豆瓣小组,""工具"""
"高德地图,""工具"""
"QQ提醒,""工具"""
"iDaily,""工具"""
"英汉词典,""工具"""
"爱壁纸,""工具"""
"百度壁纸,""工具"""
"百度知道,""工具"""
"在线翻译,""工具"""
"电池管家,""工具"""
"地铁上海,""工具"""
"Ruler,""工具"""
"瑞星,""工具"""
"快拍二维码,""工具"""
"QQ输入法,""工具"""
"QQ手机管家,""工具"""
"QQ应用宝,""工具"""
"QQ通讯助手,""工具"""
"糗事百科,""工具"""
"拍译全能王,""工具"""
"快乐孕期,""工具"""
"PP助手,""工具"""
"手机铃声,""工具"""
"订餐小秘书,""工具"""
"N多网,""工具"""
"木蚂蚁电子市场,""工具"""
"手机邮箱,""工具"""
"明星衣橱,""工具"""
"美图秀秀,""工具"""
"口袋故事听听,""工具"""
"乐商店,""工具"""
"辣妈育儿,""工具"""
"宽带山论坛,""工具"""
"金山电池医生,""工具"""
"机锋市场,""工具"""
"金山词霸,""工具"""
"惠友生活,""工具"""
"星座运势,""工具"""
"安卓市场,""工具"""
"航班管家,""工具"""
"Hao123导航门户,""工具"""
"掌上药店,""工具"""
"gmail邮件客户端,""工具"""
"限时免费大全,""工具"""
"Flipboard,""工具"""
"Endomondo,""工具"""
"Emoji,""工具"""
"北京空气污染指数,""工具"""
"丁丁生活,""工具"""
"联通手机营业厅,""工具"""
"中国列车时刻查询,""工具"""
"全国公交系统,""工具"""
"凯立德,""工具"""
"BT下载,""工具"""
"bing,""工具"""
"妈妈圈,""工具"""
"百度身边,""工具"""
"百度,""工具"""
"宝宝故事,""工具"""
"亲宝儿歌,""工具"""
"宝贝全计划,""工具"""
"宝宝童谣,""工具"""
"宝宝学英语,""工具"""
"AppStore,""工具"""
"安智市场,""工具"""
"安卓优化大师,""工具"""
"搜狗浏览器,""工具"""
"Samsung Apps,""工具"""
"91手机助手,""工具"""
"365日历(安卓版),""工具"""
"360手机助手,""工具"""
"360手机卫士,""工具"""
"360手机桌面,""工具"""
"网易应用中心,""工具"""
"Taptu,""工具"""
"谈客,""工具"""
"FootBallScore,""工具"""
"Picasa,""工具"""
"摸手灵灵,""工具"""
"LiveScore,""工具"""
"灵机妙算,""工具"""
"iDo,""工具"""
"中国万年历,""工具"""
"UC浏览器,""工具"""
"QQ浏览器,""工具"""
"opera浏览器,""工具"""
"世界之窗浏览器,""工具"""
"傲游浏览器,""工具"""
"海豚浏览器,""工具"""
"91Todo,""工具"""
"四季养生,""健康健美"""
"月月佳,""健康健美"""
"秀美甲,""健康健美"""
"养肾计划,""健康健美"""
"每日瑜伽,""健康健美"""
"乐活健康,""健康健美"""
"ibody运动,""健康健美"""
"过日子,""健康健美"""
"大姨吗,""健康健美"""
"百词斩,""教育"""
"百度推广,""教育"""
"每日必听英语,""教育"""
"Duolingo学英语,""教育"""
"英语听力英式口语突破有声英音版,""教育"""
"旅行家游记,""旅行"""
"旅行家火车,""旅行"""
"途牛,""旅行"""
"芒果旅游,""旅行"""
"旅游攻略,""旅行"""
"Lingopal,""旅行"""
"汉庭酒店/华住酒店,""旅行"""
"航旅纵横,""旅行"""
"到到无线,""旅行"""
"酒店查询,""旅行"""
"百度旅游,""旅行"""
"沃行讯通,""旅行"""
"饿了么,""美食佳饮"""
"淘最上海,""美食佳饮"""
"扇贝阅读,""美食佳饮"""
"肯德基,""美食佳饮"""
"下厨房,""美食佳饮"""
"为爱下厨,""美食佳饮"""
"星巴克中国,""美食佳饮"""
"好豆菜谱,""美食佳饮"""
"番茄快点,""美食佳饮"""
"豆果美食,""美食佳饮"""
"IKEA Now,""商品指南"""
"阿里巴巴,""商业"""
"百度空间,""社交"""
"迷你飞信,""社交"""
"饭否,""社交"""
"微爱,""社交"""
"来往,""社交"""
"图吧,""社交"""
"秘密网,""社交"""
"口袋购物,""社交"""
"VisualRadio,""社交"""
"有信,""社交"""
"摇摇公交,""社交"""
"课程格子,""社交"""
"爱聊,""社交"""
"花田,""社交"""
"辣妈帮,""社交"""
"妈妈帮,""社交"""
"YY语音,""社交"""
"掌上猫扑,""社交"""
"易信,""社交"""
"篱笆社区,""社交"""
"Tomorrow,""社交"""
"百度美秀,""社交"""
"手机淘男,""社交"""
"foursquare,""社交"""
"好友定位,""社交"""
"263通信云,""社交"""
"掌中天涯,""社交"""
"遇见网,""社交"""
"微领地,""社交"""
"Weico+,""社交"""
"切客,""社交"""
"友加,""社交"""
"天涯社区,""社交"""
"搜狐微博,""社交"""
"新浪微博,""社交"""
"人人网,""社交"""
"红围脖,""社交"""
"QQ空间,""社交"""
"腾讯微博,""社交"""
"朋友网,""社交"""
"啪啪,""社交"""
"陌陌,""社交"""
"KakaoStory,""社交"""
"开心网,""社交"""
"简简单单,""社交"""
"街旁,""社交"""
"世纪佳缘,""社交"""
"百度贴吧,""社交"""
"飞去来,""社交"""
"沃友,""社交"""
"WhatsApp,""社交"""
"Viber,""社交"""
"淘宝旺旺,""社交"""
"TalkBox,""社交"""
"Skype,""社交"""
"腾讯微信,""社交"""
"腾讯QQ,""社交"""
"MSN,""社交"""
"米聊,""社交"""
"连我,""社交"""
"KakaoTalk,""社交"""
"HeyTell,""社交"""
"飞信,""社交"""
"畅聊,""社交"""
"交友乐园,""社交"""
"LinkedIn,""社交"""
"豆瓣说,""社交"""
"NearMe,""摄影与录像"""
"美颜相机,""摄影与录像"""
"又拍,""摄影与录像"""
"百度魔图,""摄影与录像"""
"poco美人相机,""摄影与录像"""
"美图贴贴,""摄影与录像"""
"素描相机,""摄影与录像"""
"商务相机,""摄影与录像"""
"Rando,""摄影与录像"""
"百度魔拍,""摄影与录像"""
"manga-camera,""摄影与录像"""
"Instagram,""摄影与录像"""
"女孩相机,""摄影与录像"""
"camera360,""摄影与录像"""
"微拍,""摄影与录像"""
"天天果园,""生活"""
"携程沃旅行,""生活"""
"易到用车,""生活"""
"猎聘秘书,""生活"""
"店顽,""生活"""
"优股雷达,""生活"""
"QQ电影票,""生活"""
"唯品团,""生活"""
"什么值得买,""生活"""
"LotteryTicket,""生活"""
"地铁通,""生活"""
"孕期提醒,""生活"""
"51二手车,""生活"""
"尚品奥莱,""生活"""
"百合网,""生活"""
"返利网,""生活"""
"爱帮公交,""生活"""
"搜房网,""生活"""
"安居客,""生活"""
"周边快查,""生活"""
"租房帮,""生活"""
"HotelFinder,""生活"""
"前程无忧,""生活"""
"大黄蜂打车,""生活"""
"大黄蜂司机,""生活"""
"快的打车,""生活"""
"生活日历,""生活"""
"人人快递,""生活"""
"去哪儿网,""生活"""
"强生叫车,""生活"""
"地铁大全  ,""生活"""
"LOHAS 乐活,""生活"""
"卡惠,""生活"""
"家电维修,""生活"""
"家电管家,""生活"""
"观音灵签,""生活"""
"e代驾,""生活"""
"嘀嘀打车,""生活"""
"打车小秘,""生活"""
"百姓生活,""生活"""
"拍拍,""生活"""
"淘宝助手,""生活"""
"网易彩票,""生活"""
"新蛋网,""生活"""
"彩票365,""生活"""
"Baccarat,""生活"""
"今晚酒店,""生活"""
"银泰网,""生活"""
"唯品会,""生活"""
"窝窝团,""生活"""
"V+商城,""生活"""
"凡客,""生活"""
"团800,""生活"""
"今夜酒店特价,""生活"""
"淘宝旅行,""生活"""
"天猫,""生活"""
"淘宝网,""生活"""
"SuningEbuy,""生活"""
"食神摇摇,""生活"""
"糯米团购,""生活"""
"蘑菇街,""生活"""
"美团网,""生活"""
"美丽说,""生活"""
"满座团购,""生活"""
"拉手网,""生活"""
"聚美优品,""生活"""
"聚划算,""生活"""
"爱抢购,""生活"""
"宜家,""生活"""
"哈票网,""生活"""
"购物党,""生活"""
"格瓦拉,""生活"""
"赶集网,""生活"""
"艺龙无线,""生活"""
"eBay,""生活"""
"大众点评,""生活"""
"当当网,""生活"""
"大麦网,""生活"""
"携程,""生活"""
"亚马逊,""生活"""
"58同城,""生活"""
"易讯网,""生活"""
"京东商城,""生活"""
"一号店,""生活"""
"百视通NBA,""体育"""
"Tiempo,""天气"""
"新浪天气,""天气"""
"墨迹天气,""天气"""
"ChinaWeather,""天气"""
"早晚必读的话,""图书"""
"凤凰读书/凤凰开卷,""图书"""
"快读小说,""图书"""
"夜阅小说,""图书"""
"天天书城,""图书"""
"书香云集,""图书"""
"内涵漫画,""图书"""
"搞笑囧图,""图书"""
"兜兜友,""图书"""
"微聚,""图书"""
"追书神器,""图书"""
"友阅,""图书"""
"经典穿越,""图书"""
"豆瓣阅读,""图书"""
"漫画桌,""图书"""
"中国法律全集,""图书"""
"RageComics,""图书"""
"网易阅读,""图书"""
"如懿传,""图书"""
"东北往事,""图书"""
"云中书城,""图书"""
"VIVA畅读,""图书"""
"新浪阅读,""图书"""
"书旗网,""图书"""
"全本小说,""图书"""
"QQ阅读,""图书"""
"起点读书,""图书"""
"91熊猫看书,""图书"""
"小说下载阅读器,""图书"""
"明朝那些事儿,""图书"""
"懒人听书,""图书"""
"掌阅iReader,""图书"""
"iBooks,""图书"""
"Hongxiu,""图书"""
"epubReader,""图书"""
"亿部书城,""图书"""
"盗墓笔记,""图书"""
"布卡漫画,""图书"""
"百阅阅读器,""图书"""
"百度文库,""图书"""
"Anyview阅读,""图书"""
"沃阅读,""图书"""
"SwipeList,""效率"""
"印象笔记,""效率"""
"Dropbox,""效率"""
"澎湃新闻,""新闻"""
"新华网,""新闻"""
"掌上威锋,""新闻"""
"财新网,""新闻"""
"CNBC,""新闻"""
"财新目击者 ,""新闻"""
"南方周末,""新闻"""
"ZAKER扎客阅读,""新闻"""
"今日头条,""新闻"""
"搜狐新闻,""新闻"""
"BBC新闻,""新闻"""
"腾讯新闻,""新闻"""
"掌中新浪,""新闻"""
"凤凰新闻,""新闻"""
"CNN,""新闻"""
"Bloomberg,""新闻"""
"百度新闻,""新闻"""
"旺旺中时,""新闻"""
"cnbeta,""新闻"""
"网易新闻,""新闻"""
"WorldTv,""新闻"""
"CNTV,""新闻"""
"iPaper,""新闻"""
"凤凰fm,""新闻"""
"1号药店,""医疗"""
"家庭诊所,""医疗"""
"好大夫在线,""医疗"""
"春雨掌上医生,""医疗"""
"用药助手,""医疗"""
"快速问医生,""医疗"""
"炫铃DIY,""音乐"""
"喜马拉雅,""音乐"""
"Guitar,""音乐"""
"原创音乐基地,""音乐"""
"rad.io,""音乐"""
"K歌达人,""音乐"""
"MacKKBOX,""音乐"""
"网易云音乐,""音乐"""
"Shockwave,""音乐"""
"音悦台,""音乐"""
"虾米音乐,""音乐"""
"虾米电台,""音乐"""
"沃音乐,""音乐"""
"TuneIn Radio,""音乐"""
"天天动听,""音乐"""
"QQ音乐,""音乐"""
"蜻蜓fm收音机,""音乐"""
"酷狗音乐,""音乐"""
"Jing客户端,""音乐"""
"多米音乐,""音乐"""
"酷我音乐,""音乐"""
"唱吧,""音乐"""
"百度音乐,""音乐"""
"天天酷跑,""游戏"""
"最热网络小说,""游戏"""
"撸啊撸,""游戏"""
"疯狂捕鱼2,""游戏"""
"傲剑,""游戏"""
"仙战,""游戏"""
"无敌锁屏,""游戏"""
"天天锁屏,""游戏"""
"锁屏精灵,""游戏"""
"惠锁屏,""游戏"""
"红包锁屏,""游戏"""
"三剑豪,""游戏"""
"决战沙城,""游戏"""
"天龙八部,""游戏"""
"征途口袋版,""游戏"""
"小师妹,""游戏"""
"斗三国,""游戏"""
"热血足球经理,""游戏"""
"乱舞乾坤,""游戏"""
"乱斗堂,""游戏"""
"三国格斗,""游戏"""
"射雕群侠传,""游戏"""
"醉西游,""游戏"""
"卧龙吟,""游戏"""
"啪啪三国,""游戏"""
"城堡争霸,""游戏"""
"斯巴达战争,""游戏"""
"天天爱西游,""游戏"""
"封魔,""游戏"""
"苍穹之剑,""游戏"""
"神魔,""游戏"""
"龙之召唤,""游戏"""
"英雄战魂,""游戏"""
"王者之剑,""游戏"""
"萌将无双,""游戏"""
"神雕侠侣,""游戏"""
"口袋忍者,""游戏"""
"口袋海贼王,""游戏"""
"热血海贼王,""游戏"""
"梦想海贼王,""游戏"""
"我是火影,""游戏"""
"忘仙,""游戏"""
"梦幻火影,""游戏"""
"萌江湖,""游戏"""
"龙之力量,""游戏"""
"Hay Day,""游戏"""
"三国杀,""游戏"""
"HappyBalance,""游戏"""
"抓玩具,""游戏"""
"熊猫屁王,""游戏"""
"嘟嘟向前冲,""游戏"""
"VegasLife,""游戏"""
"ToyBalls,""游戏"""
"TowrCraft,""游戏"""
"TinyZooFriends,""游戏"""
"PianoMan,""游戏"""
"MetalStorm,""游戏"""
"iStunt,""游戏"""
"HorseFrenzy,""游戏"""
"GreenFarm,""游戏"""
"DoodlePool,""游戏"""
"捕鱼生涯,""游戏"""
"会说话的汤姆猫2,""游戏"""
"企鹅连连看2,""游戏"""
"重力球,""游戏"""
"武士2：复仇,""游戏"""
"闪电战斗机,""游戏"""
"皇上吉祥,""游戏"""
"时空猎人,""游戏"""
"水果连连看3,""游戏"""
"疯狂猜成语,""游戏"""
"LOL手机盒子,""游戏"""
"谁是卧底,""游戏"""
"三分天下,""游戏"""
"猎鹿人2014,""游戏"""
"TapStudio,""游戏"""
"实况赛车3,""游戏"""
"格子游戏,""游戏"""
"博雅四川麻将,""游戏"""
"蚊子也疯狂,""游戏"""
"钓鱼大师,""游戏"""
"捕鱼英雄,""游戏"""
"坦克大战,""游戏"""
"飞机大战,""游戏"""
"迷你农场,""游戏"""
"QuickLook,""游戏"""
"会说话的泰迪熊,""游戏"""
"树世界,""游戏"""
"植物大战僵尸2,""游戏"""
"植物大战僵尸,""游戏"""
"ZombieCafe,""游戏"""
"斩仙录OL,""游戏"""
"游戏多,""游戏"""
"永恒战士2,""游戏"""
"百万亚瑟王,""游戏"""
"仙落凡尘,""游戏"""
"无尽之剑2,""游戏"""
"沃游戏,""游戏"""
"微博三国,""游戏"""
"VeggieSamurai,""游戏"""
"微部落,""游戏"""
"跳跃忍者,""游戏"""
"TrucksAndSkulls,""游戏"""
"TrainConductor,""游戏"""
"天朝小将,""游戏"""
"塔防三国志,""游戏"""
"寺庙逃亡2,""游戏"""
"寺庙逃亡,""游戏"""
"TanZen,""游戏"""
"会说话的汤姆猫,""游戏"""
"会说话的圣诞老人,""游戏"""
"会说话的汤姆和本播报新闻,""游戏"""
"会说话的吉娜,""游戏"""
"会说话的狗狗本,""游戏"""
"TableTennis,""游戏"""
"鳄鱼爱洗澡,""游戏"""
"Sudoku,""游戏"""
"石器时代,""游戏"""
"Solitaire,""游戏"""
"Snowboard,""游戏"""
"找你妹,""游戏"""
"Slotomania,""游戏"""
"水浒英雄,""游戏"""
"神仙道,""游戏"""
"疯狂填字,""游戏"""
"三国战魂,""游戏"""
"忍将OL,""游戏"""
"实况网球,""游戏"""
"QQ餐厅,""游戏"""
"QQ游戏,""游戏"""
"PopStar,""游戏"""
"痞子三国,""游戏"""
"宠物沙龙,""游戏"""
"丢纸团,""游戏"""
"逆转三国,""游戏"""
"蒙特祖玛的宝藏,""游戏"""
"魔卡幻想,""游戏"""
"现代战争,""游戏"""
"名将风云,""游戏"""
"武侠Q传,""游戏"""
"是男人就下100层,""游戏"""
"缭乱三国演义,""游戏"""
"LetsGolf,""游戏"""
"节奏大师,""游戏"""
"JJ斗地主,""游戏"""
"贱三国之汉末群雄,""游戏"""
"钢铁侠3,""游戏"""
"IceAge,""游戏"""
"我是MT,""游戏"""
"HungryShark,""游戏"""
"滑雪大冒险,""游戏"""
"轰炸机,""游戏"""
"航空大亨,""游戏"""
"合金力量,""游戏"""
"史上最牛游戏2,""游戏"""
"海贼幻想,""游戏"""
"疯狂猜图,""游戏"""
"Gomoku,""游戏"""
"与飞机有关的游戏,""游戏"""
"水果忍者(Fruit Ninja),""游戏"""
"霍比特人,""游戏"""
"crazy climber,""游戏"""
"捕鱼达人,""游戏"""
"FarmFrenzy,""游戏"""
"Fairway,""游戏"""
"FaceFighter,""游戏"""
"俄罗斯方块,""游戏"""
"地牢猎人,""游戏"""
"Draw something,""游戏"""
"DoodleJump,""游戏"""
"DoodleFit,""游戏"""
"大掌门,""游戏"""
"大侠传,""游戏"""
"刀剑天下,""游戏"""
"切绳子,""游戏"""
"Cut the Buttons,""游戏"""
"推币机,""游戏"""
"chess,""游戏"""
"Chaos,""游戏"""
"保卫萝卜,""游戏"""
"捕鱼达人2,""游戏"""
"BananaKong,""游戏"""
"都市赛车,""游戏"""
"傲视西游,""游戏"""
"愤怒的小鸟,""游戏"""
"3D桌球,""游戏"""
"21点纸牌,""游戏"""
"飞行棋,""游戏"""
"GravityGuy,""游戏"""
"泡泡龙射手,""游戏"""
"阿基米德,""娱乐"""
"讯雷看看,""娱乐"""
"联通手机电视,""娱乐"""
"联通手机电视,""娱乐"""
"内涵笑话,""娱乐"""
"卫视通,""娱乐"""
"快手MV,""娱乐"""
"微看电视,""娱乐"""
"奇狗影视,""娱乐"""
"百度电影,""娱乐"""
"风云直播,""娱乐"""
"超高清影视,""娱乐"""
"英雄联盟视频,""娱乐"""
"娱乐八卦,""娱乐"""
"百度视频,""娱乐"""
"腾讯视频,""娱乐"""
"电驴大全,""娱乐"""
"我乐,""娱乐"""
"YouTube,""娱乐"""
"优酷,""娱乐"""
"迅雷看看,""娱乐"""
"优酷联通版能力聚合产品,""娱乐"""
"搜狐联通版能力聚合产品,""娱乐"""
"PPTV联通版能力聚合产品,""娱乐"""
"LiveTV,""娱乐"""
"土豆网,""娱乐"""
"暴风影音,""娱乐"""
"搜狐视频,""娱乐"""
"新浪视频,""娱乐"""
"爱奇艺,""娱乐"""
"PPTV,""娱乐"""
"PPS影音,""娱乐"""
"芒果TV,""娱乐"""
"乐视网,""娱乐"""
"快播播放器,""娱乐"""
"酷6网,""娱乐"""
"高清影视,""娱乐"""
"风行电影,""娱乐"""
"凤凰视频,""娱乐"""
"Dopool手机电视,""娱乐"""
"嗨皮精灵,""娱乐"""
"符文大师拼图,""娱乐"""
"内涵段子,""娱乐"""
"开心水族箱,""娱乐"""
"激动网,""娱乐"""
"豆瓣FM,""娱乐"""
"豆瓣电影,""娱乐"""
"百度ting,""娱乐"""
"未识别客户端,""非客户端"""
